Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Kanachur Institute of Management and Science, Deralakatte, Mangalore (Id: C-16992)",1.42,NA,NA,5,NA,1.26,6,NA
Kanad Institute of Engineering and Management 252 (Id: C-6261),0.1,0,NA,0.04,NA,NA,NA,NA
"Kanaka College of Mgmt Studies and Science, Kanaka Complex, Srinivasanagar, 80 ft Rd, Bsk Ist stage, Bangalore-50. (Id: C-20807)",0.5,1.5,1,0.34,NA,NA,NA,NA
"KANAKADAS SHIKSHNA SAMITI KSS ARTS COLLEGE, GAJENDRAGAD (Id: C-46630)",0.35,0,0.08,0.56,NA,NA,NA,NA
"Kanara Welfare Trusts B.Ed College, Janata Vidyalaya Campus, Dandeli. (Id: C-35634)",4,3.5,NA,4.3,NA,NA,NA,NA
Kanchi College of Education (Id: C-14780),3.71,4.75,NA,3.38,NA,NA,NA,NA
"KANCHI KAMAKOTI CHILDS TRUST HOSPITAL, CHENNAI (Id: C-45483)",1,NA,NA,NA,NA,NA,NA,NA
Kanchi Mamunivar Centre for Post Graduate Studies (Id: C-6502),4.28,5.88,NA,4.16,0,NA,2.57,NA
Kanchi Pallavan Engineering College (Id: C-16588),0.34,0.39,0,0.33,NA,NA,NA,NA
KANCHI SHRI KRISHNA COLLEGE OF ARTS AND SCIENCE (Id: C-43919),1.33,1.12,0.75,1.41,NA,NA,NA,NA
Kanchrapara College (Id: C-7060),0.9,1.12,1.8,1.02,0.67,NA,NA,NA
"Kandarpur College, Kandarpur,Cuttack (Id: C-39836)",2.08,2.48,0,2.09,NA,NA,NA,NA
Kandaswami Kandars College (Id: C-9492),1.1,0.88,0.65,1.27,0.33,1,NA,NA
Kandhaswamy College of Education (Id: C-14467),0.85,0.85,NA,NA,NA,NA,NA,NA
Kandi Raj College (Id: C-7119),0.51,NA,NA,NA,0.33,NA,NA,NA
Kandra Radha Kanta Kundu Mahavidyalaya (Id: C-44752),0.59,0.37,0.33,0.63,NA,0.75,NA,NA
Kandula Lakshumma College of Egg. for Women (Id: C-26892),NA,NA,NA,NA,NA,NA,NA,NA
Kanggui Christian College (Id: C-9366),3.12,2.89,3.33,3.22,NA,1.83,NA,NA
Kangleipak Medical & Nursing Institute (Id: C-9436),18.67,0,NA,18,NA,NA,NA,NA
"Kanhaiyalal Saumydarsh Sanskrit Mahavidyalaya,Gwaliar Road (Id: C-20409)",4,NA,NA,NA,NA,NA,NA,NA
"Kanifnath Mahavidyalaya, Kherda, Tq. Karanja(lad). (Id: C-43197)",0.71,NA,NA,NA,NA,NA,NA,NA
"Kanifnath P.Changulpai Education & Social Foundation's Sai College of Information Technology, Vadgaon Sheri, Pune (Id: C-41742)",0.69,NA,NA,NA,NA,NA,NA,NA
Kankavali College Kankavli (Id: C-33666),1.19,0.98,NA,1.15,NA,3,1.55,NA
KANKRAJ ARTS & COMMERCE COLLEGE THARA (Id: C-6684),0.31,0.51,0.36,0.24,0.67,NA,NA,NA
Kanksa Academy of Technology and Management 254 (Id: C-6268),0.13,NA,NA,NA,NA,0.07,NA,NA
Kannada Balaga Ayurvedic Medical College (Id: C-40435),NA,NA,NA,NA,NA,NA,NA,NA
"Kannada Sangha's Pune College of Commerce, Ganeshnagar, Erandavane, Pune-411038 (Id: C-41819)",0.77,0.38,NA,0.64,NA,NA,NA,NA
"Kannur Medical College, Anjarakandy, Post Mamba, Kannur (Id: C-43774)",2.33,NA,NA,NA,NA,NA,NA,NA
"Kannur Salafi B. Ed. College, Chekkikulam , Kannur (Id: C-43885)",20,NA,NA,20.67,NA,NA,NA,NA
"Kanohar Lal Mahila Mahavidyala, Meerut Mob. No.9219702071 Ph.No.2518472, 2671692 (Id: C-28843)",NA,NA,NA,NA,NA,NA,NA,NA
Kanon Devi Memorial College of Teachers' Education (Id: C-9395),2.57,0.5,0.8,2.46,NA,1,0.8,NA
"Kanoria B.Ed. COllege, Jhunjhunun (Id: C-38444)",0.47,0.2,0.5,0.53,NA,0,NA,NA
"Kanoria Girls B.Ed. College, Jhunjhunun (Id: C-39165)",NA,NA,NA,NA,NA,NA,NA,NA
"Kanoria Mahavi., Jhunjhunun (Id: C-39009)",0.26,0.06,0,0.35,NA,0,NA,NA
"Kanoria P G Mahila Mahavidyalaya, Jaipur (Id: C-38539)",1848.33,NA,NA,255.33,NA,NA,NA,NA
"Kanpur Anchalik Mahavidyalaya,Kanpur,Cuttack (Id: C-39720)",1.26,1.62,0,1.22,NA,NA,NA,NA
"KANPUR VIDYA MANDIR P.G. COLLEGE, SWAROOP NAGAR, (Id: C-12657)",NA,NA,NA,NA,NA,NA,NA,NA
KANTABA BED COLLEGE (Id: C-6808),0.67,0.25,NA,0.53,NA,NA,NA,NA
"Kanta College of Education, Chalwara, Teh. Jawali, Distt Kangra (Id: C-11508)",9,10,NA,5.43,NA,NA,NA,NA
"Kantidarshan Saikshnik & Computer Prasikshan Sansthan, Kosanagar, Supela (Id: C-21834)",2.49,NA,NA,NA,NA,NA,NA,NA
"Kanwar Durga Chand Govt Degree College, Jaisinghpur, Distt Kangra (Id: C-11470)",2.27,2.61,NA,1,NA,NA,NA,NA
"Kanya Gurukul Sanskrit Mahavidyalaya, Harhras (Id: C-20252)",NA,NA,NA,NA,NA,NA,NA,NA
"KANYAKUMARI GOVT MEDICAL COLLEGE, KANYAKUMARI (Id: C-45623)",2.72,2.46,1.33,2.89,0,1.67,NA,NA
Kanya Mahavidyalaya (Id: C-17311),NA,NA,NA,NA,NA,NA,NA,NA
"Kanya Mahavidyalaya, Bhoor (Id: C-13370)",NA,NA,NA,NA,NA,NA,NA,NA
Kanya Maha Vidyalaya Jalandhar (Id: C-27898),109.65,17.1,NA,NA,NA,NA,NA,NA
"Kanya Mahavidyalaya, Kharkhoda (Id: C-28176)",NA,NA,NA,NA,NA,NA,NA,NA
"Kanya Mahavidyalaya, Shivaji Road, Shivaji Nagar, MIRAJ (Id: C-11101)",NA,NA,NA,NA,NA,NA,NA,NA
Kapadia N. M. M. S. Arts & The S. N. S. B. Commerce College (Id: C-5843),0.58,1.41,0.43,0.59,NA,NA,NA,NA
K.A.PANDHI LAW COLLEGE-RAJKOT (Id: C-846),0.3,0.67,NA,0.14,NA,NA,NA,NA
KAPI College of Education (Id: C-14501),0,0,0,0,NA,NA,NA,NA
Kapili College (Id: C-26442),0.91,0.25,0.87,1.09,NA,NA,NA,NA
Kapi Womens College of Education (Id: C-14551),NA,NA,NA,NA,NA,NA,NA,NA
KAPOL Vidyanidhi Trusts Kopal Vidyanidhi College of Hotel Management at Adijacent to Poisar Gymkhana Kamala Vihar Sports Club Lane Mahavir Nagar Kandivali(W) Mumbai 400 067 (Id: C-34096),NA,NA,NA,NA,NA,NA,NA,NA
"Kaptipada College, Kaptipada (Id: C-10935)",0.74,0.89,0.71,1.04,NA,NA,NA,NA
"Kaptipada College, Nuasahi (Id: C-10914)",1.6,NA,NA,NA,NA,NA,NA,NA
"K.A.P. VISWANATHAM GOVERNMENT MEDICAL COLLEGE, TIRUCHIRAPALLI (Id: C-45684)",0.92,0.83,1,0.94,NA,0.61,1.67,NA
"KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT, KARAIKUDI (Id: C-45319)",0.37,0.35,NA,0.33,NA,0.15,NA,NA
KARAMAT HUSAIN MUSLIM GIRLS DEGREE COLLEGE (Id: C-12787),NA,NA,NA,NA,NA,NA,NA,NA
"Karamsad Kelvani Mandel B.Ed. College, Karamsad (Id: C-1225)",NA,NA,NA,NA,NA,NA,NA,NA
"Karamveer College, Mul (Id: C-18369)",1.28,2.14,0.8,1.22,NA,NA,NA,NA
"Karam Vidya Mandir Shikshan Sansthan, Alwar (Id: C-38741)",1.27,0.7,0.86,1.67,NA,NA,NA,NA
"Karamvir Dadasaheb Deotale Arts Commerce College, Charmoshi (Id: C-18347)",0.76,0.62,0.51,0.86,0,0,NA,NA
"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan (Id: C-18630)",0.42,0.47,0.34,0.49,NA,NA,NA,NA
Karanam Padmavathi Memorial Degree & P.G College (Id: C-25489),0.89,0.88,0.91,0.89,NA,0.25,NA,NA
"Karanjia College, Karanjia (Id: C-10948)",1.1,1.39,0.83,1.32,NA,1.44,NA,NA
"Karavali College, NH-17, Near Kottara Chowki Junction, Bangra Kuloor, Mangalore-13 (Id: C-17021)",0.67,0.71,1,0.6,NA,0.29,0.61,0
"Karavali College of Education, NH17, Near Kottara Chowki Junction, Mangalore-13 (Id: C-16820)",6.8,2,NA,8,NA,NA,NA,NA
Karavali College of Nursing (Id: C-40377),5.94,11,1,2.56,NA,NA,NA,NA
Karavali College of Pharmacy (Id: C-40451),NA,NA,NA,NA,NA,NA,NA,NA
"Karavali Institute of Technology, MANGALORE (Id: C-1380)",0.24,0.5,0.6,NA,NA,NA,NA,0
"KARGIL SAHEED MAHAVIDYALAYA, JASWANT NAGAR, (Id: C-12196)",1.46,1.58,NA,1.63,NA,NA,NA,NA
"KARGIL SAHID LALMANI YADAV MAHAVIDYALAYA, LOHARI, KARCHANA, (Id: C-12316)",0.48,0.4,NA,0.47,NA,NA,NA,NA
"Karilopatna College, Karilopatna,Kendrapara (Id: C-39831)",1,1.39,NA,NA,NA,NA,NA,NA
"Karimala Sai Degree College, 6-60, Beet Bazar, Luxettipet (Id: C-27475)",0.84,0.8,0.33,0.87,NA,NA,NA,NA
Karim City College Jamshedpur (Id: C-43550),0.94,0.85,0.78,0.95,0,1.18,2.23,NA
Karimpur Pannadevi College (Id: C-44056),0.76,0.69,0.48,0.73,0,0.65,NA,NA
"Karma Mata Vanijya & Vigyan Mahavidyalaya, Jamgaon, Durg (Id: C-21722)",0.67,0.64,1.67,0.66,NA,NA,NA,NA
Karmashree Hiteswar Saikia College (Id: C-17109),0.9,0.54,0.56,0.83,NA,0.75,0.65,NA
"Karmaveer Abasaheb N M Sonawane Arts, Commerce & Science College, Satana, Tal. Baglan, District Nashik (Id: C-44587)",1.41,NA,NA,NA,NA,NA,NA,NA
"Karmaveer Bahurao Patil Institute of Management Studies & Research, (Id: C-11094)",1.22,3,NA,0.76,NA,NA,NA,NA
Karmaveer Bhaurao Patil College of Engineering and Polytechnic (Id: C-11018),0.66,0.6,1,0.75,NA,NA,NA,NA
"Karmaveer Kakasaheb Wagh Education Societys Arts, Commerce, Science & Computer Science College, Hirabai Haridas Vidyanagari, Adgaon Road, Panchvati, Nashik 422003 (Id: C-41802)",0.86,1.05,1,0.85,NA,NA,NA,NA
"Karmaveer Mamasaheb Jagdale Mahavidyalaya Arts, Science & Commerce College, Washi. (Id: C-34409)",1.02,NA,NA,NA,NA,NA,NA,NA
"Karmaveer Pratishthan's College of Social Work,Ram Nagar (Id: C-34458)",0.98,NA,NA,NA,NA,NA,NA,NA
"Karmaveer Shankarrao Kale Education Society's Sau. Sushilamai Kale Arts,Commerce & Science College, Gautamnagar, Tal.Kopargaon,Dist.Ahmednagar (Id: C-41591)",0.85,0.39,0.2,0.65,NA,0.8,0,NA
Karmaveer Shikshan Prasarak Mandal's College of Education for Women (Id: C-44143),NA,NA,NA,NA,NA,NA,NA,NA
"KARMA YOGI DEGREE COLLEGE, MALIHAMAU, (Id: C-12625)",0.77,0.64,2,0.85,NA,0.96,NA,NA
"Karmela Rani Training College, Kollam (Id: C-43658)",10.21,NA,NA,7.86,NA,NA,NA,NA
"Karmel Vidya Bhavan Trust CHRIST College, Pune, Arts Science and Commerce College, Vadgaon Sheri, Pune 14 (Id: C-41447)",0.57,NA,0,NA,NA,1,0.53,NA
"Karmveer Bhaurao Patil College, URUN-ISLAMPUR (Id: C-11036)",0.47,0.36,0,0.48,NA,NA,NA,NA
KARMVEER BHAURAO PATIL MAHAVIDYALYA PANDHARPUR-413 304. DIST-SOLAPUR (Id: C-15798),0.82,NA,NA,NA,NA,NA,NA,NA
"Karmveer Hire Arts, Commerce Science & Education College, GARGOTI (Id: C-11244)",1.19,0.99,0.67,0.79,NA,NA,NA,NA
"Karmveer R.S.Wagh Shaikshanik & Ayogya Sansthas College of Arts,Commerce & Science, Rajaramnagar, Post Materewadi, Tal.Dindori, Dist. Nashik (Id: C-41314)",0.8,NA,NA,NA,NA,NA,NA,NA
"Karmyogi Babasaheb Apotikar Adhyapak & Anusandhan Mahavidyalaya, Apoti (Khu.)Tq.:-Akola (Id: C-43025)",1.5,NA,NA,NA,NA,NA,NA,NA
"KARMYOGI ENGINEERING COLLEGE SHELVE TAL.PANDHAPUR, DIST-SOLAPUR (Id: C-15755)",0.23,0.06,1,0.22,NA,NA,NA,NA
"KARMYOGI RAMSOORAT TRIPATHI MAHAVIDYALAYA, KRISHNA NAGAR, SISWA, AMBEDKAR NAGAR (Id: C-42283)",NA,NA,NA,NA,NA,NA,NA,NA
"Karmyogi Tulsiram Pawar Mahavidyalaya Hadolti,Tq. Ahemadpur (Id: C-7463)",0.67,0.72,0.5,0.59,0,0.71,NA,NA
Karnala Sports Academys KSAs Barns college of Arts Science & Commerce At plot no.7 Sector 16 Behind HOC Colony New Panvel(W (Id: C-33991),0.4,0.56,0.5,0.4,0,NA,NA,NA
"Karnal Institute of Technology & Management, (KITM) (Id: C-10885)",0.18,0.75,NA,0.41,NA,0.11,1.58,NA
"KARNAL JAGANNATH SINGH MAHAVIDYALAYA, PEETHAPUR, SARAIYA, BHITI, AMBEDKAR NAGAR (Id: C-42638)",1.07,1.35,NA,0.88,NA,NA,NA,NA
"Karnataka Arts and Commerce College, Dharwad (Id: C-35702)",0.48,0.34,0.46,0.49,NA,NA,NA,NA
"KARNATAKAA TEACHERS EDU., COLLEGE, INDI (Id: C-9934)",1.08,0.44,0,1.26,NA,NA,NA,NA
Karnataka Ayurvedic Medical College (Id: C-40272),3.87,2,0,NA,NA,NA,NA,NA
"Karnataka Chitrakala Parishath,Art Complex, Kumarakrupa Rd,Bangalore-01 (Autonomous) (Id: C-21196)",1.44,0.71,0.5,NA,NA,0,NA,2.75
"Karnataka College of Commerce, No.33/2, Tirumenahalli, Hegadenagar Main Road, Jakkur Post, Yelahanka Hobli, Bangalore-64. (Id: C-20798)",0.17,0.71,0,0,NA,NA,NA,0.24
"Karnataka College of Management, No.33/2, Thirumenahalli, Hegadenagara, Bangalore -560 064. (Id: C-20721)",0.1,0,0,0.38,NA,NA,NA,0.23
Karnataka College of Nursing (Id: C-40251),1.77,NA,NA,NA,NA,NA,NA,60
Karnataka College of Pharmacy (Id: C-40596),0.24,2,1,0.5,NA,0.22,NA,NA
Karnataka College of Pharmacy (Id: C-40536),0.57,NA,NA,NA,NA,0.2,0.83,0.38
"Karnataka Education College, Dharwad (Id: C-35461)",1.11,0.54,0.5,1.23,NA,NA,NA,NA
"Karnataka Gadinadu Educational Trust, Nippani (Id: C-26736)",0.75,0.2,NA,2,NA,NA,NA,NA
Karnataka Institute of Medical Sciences (Id: C-40444),0.59,NA,NA,NA,NA,NA,NA,NA
"Karnataka Lalitakala Mahavidyalaya, Gokak (Id: C-26692)",0.45,0,0,0,NA,NA,NA,NA
"Karnataka Law College, Dharwad (Id: C-35528)",0.48,0.67,0.55,0.38,NA,0.36,NA,1.5
"Karnataka Law College, Gulbarga. (Id: C-9781)",0.11,0.25,0,0,NA,0,NA,NA
"Karnataka Law Society, B.B.A College, Udyaoga vidya Nagar, Dandeli Road Haliyal Dt- Karawar (Id: C-35559)",0.89,0,NA,1.33,NA,4,2,NA
"Karnataka Law Society, HALIYAL Dt: N.K. (Id: C-1282)",0.47,0.49,0.44,0.36,NA,0.36,0.54,NA
"Karnataka Music College, Dharwad (Id: C-35520)",0.56,0.67,1,0.9,NA,NA,NA,NA
"Karnataka National Education Trust, Bidar (Id: C-26691)",7,NA,NA,NA,NA,NA,NA,NA
"Karnataka Sanga, Mandya (Id: C-26765)",1,0,NA,NA,NA,NA,NA,NA
Karnataka Sanghas Manjunatha College of Commerce Manjunatha College Building anchagaon Kambalpada Thakurli Kalyan Road Thakurli East Thane 421 201 (Id: C-33710),0.5,0.64,0,0.61,NA,0.5,0.58,NA
"Karnataka Science College, Dharwad (Id: C-35555)",1,0.64,0.86,0.86,0,1.19,0,NA
"Karnataka Theological Research Centre, Mangalore (Id: C-26666)",0.75,1,NA,0,NA,NA,0,NA
"Karnatak law Socity, B.C.A College Udyaoga vidya Nagar, Dandeli Road Haliyal Dt- Karawar (Id: C-35482)",1.75,0.67,1,2,NA,1.67,0.67,NA
Karnavati School of Dentistry (Id: C-5911),2.08,1.62,NA,1.43,NA,NA,NA,NA
Karpagam College of Education (Id: C-14645),8.14,NA,NA,5.71,NA,NA,NA,NA
Karpagam College of Engineering (Id: C-37044),0.42,0.46,0.23,0.46,NA,0.23,0.57,NA
"KARPAGAM COLLEGE OF PHARMACY, COIMBATORE (Id: C-45543)",0.55,NA,NA,NA,NA,NA,NA,0
"KARPAGAM FACULTY OF MEDICAL SCIENCES & RESEARCH, COIMBATORE (Id: C-47560)",1.46,1.56,0,1.46,NA,NA,NA,NA
Karpagam Institute of Technology (Id: C-37035),0.52,0.52,0.25,0.55,NA,0.21,NA,NA
"KARPAGAM NURSING COLLEGE, COIMBATORE (Id: C-45547)",NA,NA,NA,NA,NA,NA,NA,NA
"KARPAGA VINAYAGA COLLAGE OF NURSING, KANCHEEPURAM (Id: C-45612)",14.73,13,NA,19.2,NA,NA,NA,NA
Karpaga Vinayaga College of Engineering and Technology (Id: C-16599),0.75,0.62,NA,0.81,NA,0.53,0.63,NA
"KARPAGA VINAYAGA COLLEGE OF NURSING, PUDUKKOTTAI (Id: C-45705)",NA,NA,NA,NA,NA,NA,NA,NA
Karpaga Vinayaga Institute of Management (Id: C-24980),1,0.38,NA,1.2,NA,NA,NA,NA
"KARPAGA VINAYAGA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE, KANCHEEPURAM (Id: C-45816)",1.25,1.19,NA,1.23,NA,NA,NA,NA
"KARPAGA VINYAKA INSTITUTE OF DENTAL SCIENCES, KANCHEEPURAM (Id: C-45607)",2.7,2.5,0,NA,NA,NA,NA,NA
"KARUNA COLLEGE OF NURSING, VILAYODI, CHITTUR (Id: C-8084)",7.05,9,NA,NA,NA,NA,NA,NA
"KARUNA MEDICAL COLLEGE, CHITTUR (Id: C-43276)",1.97,1,NA,NA,NA,NA,NA,NA
Karuna P.G. College of Business Management (Id: C-25862),0.25,NA,NA,NA,NA,NA,NA,NA
Karuna P.G College of Computers Applications (Id: C-25870),0.37,NA,NA,NA,NA,NA,NA,NA
Karuna Shikshan Prashikshan Mahavidhyalaya (Id: C-36901),NA,NA,NA,NA,NA,NA,NA,NA
Karuna TT College (Id: C-26562),0.6,NA,0,1.33,NA,NA,NA,NA
Karuppannan Mariappan College (Id: C-41084),NA,NA,NA,NA,NA,NA,NA,NA
Karur College of Engineering (Id: C-36982),0.13,0.31,NA,0.11,NA,NA,NA,NA
"Karve Insititute of Social Service, Hillside, Karvenagar, Pune 411052 (Id: C-41409)",1.15,0.67,0.57,0.93,NA,NA,NA,NA
"Kasegaon Education Society Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya,Islampur (Id: C-11180)",31.76,NA,NA,NA,NA,NA,NA,NA
Kashav College of Education Tikamgarh (Id: C-19146),1.27,0.47,NA,1.62,NA,NA,NA,NA
"Kashi Gurukul Sanskrit Mahavidyalaya, Dhoopchandi (Id: C-20159)",2.54,2,1,2.75,NA,0,NA,NA
Kashi Prasad College (Id: C-22560),1.05,0.87,NA,0.95,NA,NA,NA,NA
Kashipur Michael Madhusudan Mahavidyalaya (Id: C-44705),0.62,0.39,0.44,0.65,NA,1,1,NA
"Kashi Raj Rajakiya Sanskrit Mahavidyalaya, Aurai, Sanpur (Id: C-19970)",NA,NA,NA,NA,NA,NA,NA,NA
"KASHI RAM MEMORIAL COLLEGE,, MANPUR, BAHERI (Id: C-45132)",0.51,NA,NA,NA,NA,NA,NA,NA
"KASHMIR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45968)",1.29,NA,NA,NA,NA,NA,NA,NA
KASHMIR LAW COLLEGE (Id: C-46541),1.13,NA,NA,NA,NA,1.13,NA,NA
KASHMIR TIBBIA COLLEGE (Id: C-46527),1.51,NA,NA,0.2,NA,NA,NA,NA
"Kasmade Parisar Vikas Mandals College of B.Ed. Co Ed Education, A/p. Vasaka, Vithewadi Lohaner, Tal. Devala, Dist.Nashik (Id: C-41962)",0.64,0.6,0.32,0.9,NA,NA,NA,NA
Kasthooribha Gandhi College of Education (Id: C-14671),NA,NA,NA,NA,NA,NA,NA,NA
Kasthurba College for Women (Id: C-6504),NA,NA,NA,NA,NA,NA,NA,NA
Kasthurba Gandhi Kanya Gurukulam (Id: C-14951),NA,NA,NA,NA,NA,NA,NA,NA
KASTUBAI COLLEGE OF EDUCATION ASHOK CHWOK SOLAPUR DIST-SOLAPUR 413 006 MAHARASHTRA (Id: C-15787),3.17,3,NA,2.5,NA,NA,NA,NA
"Kasturba College of Nursing, Wardha (P.C.B.Sc.) (Id: C-14031)",53.25,NA,NA,NA,NA,NA,NA,NA
Kasturba Gandhi Degree College for Women (Id: C-26105),NA,NA,NA,NA,NA,NA,NA,NA
KASTURBA GANDHI NURSING COLLEGE (Id: C-47763),7,5.32,NA,9.09,NA,1.67,11.67,NA
"Kasturba Girls College, Near Moti Masjid, Car Parking, Bhopal (Id: C-35340)",NA,NA,NA,NA,NA,NA,NA,NA
"Kasturba Gram Sansthan, Kasturba Gram, Indore (Id: C-29783)",NA,NA,NA,NA,NA,NA,NA,NA
"Kasturba Health Societys Kasturba Nursing (B.Sc.) College, Sewagram, Tal. & Dist. Wardha (Id: C-13831)",NA,NA,NA,NA,NA,NA,NA,NA
"Kasturba Medical College, Mangalore (Id: C-7251)",1.19,NA,NA,NA,NA,NA,NA,1.53
"Kasturba Medical College, Manipal (Id: C-7242)",0.96,NA,NA,NA,NA,NA,NA,0.9
"Kasturba Nursing College, BHEL, Bhopal (Id: C-35297)",NA,NA,NA,NA,NA,NA,NA,NA
Kasturba Teachers College Borgaon Meghe (Id: C-18891),4.1,NA,NA,NA,NA,NA,NA,NA
Kasturiba Gandhi Jal (Spain) College of Education for Women (Id: C-14508),NA,NA,NA,NA,NA,NA,NA,NA
Kasturibai College of Education (Id: C-37209),NA,NA,NA,NA,NA,NA,NA,NA
Kasturi College of Education (Id: C-14908),3.24,1.42,NA,NA,NA,4,1.25,NA
"Kasturi Education Sanstha's Arts & Commerce College, Shikrapur, Tal.Shirur, Dist Pune (Id: C-41728)",0.77,0.87,1,0.5,NA,NA,NA,NA
"Kasturi Education Sanstha's College of Education, Shikrapur, Tal.Shirur, Dist Pune (Id: C-42119)",2.56,NA,NA,NA,NA,NA,NA,NA
"Kasturi Education Sanstha's College of Pharmacy, Shikrapur, Tal.Shirur Dist Pune (Id: C-41964)",0.75,0.86,0.5,0.59,NA,NA,NA,NA
Kasturi Ram College of Higher Education (Id: C-32885),1.58,7.75,NA,1,NA,NA,NA,NA
"Kasturi Shikshan Sansthas Institute of Management, A/p. Shikrapur, Tal. Shirur, Dist. Pune 412208 (Id: C-41550)",0.36,0.25,NA,0.5,NA,NA,NA,NA
"Kaswan Kanya College, Tibbi (Id: C-40746)",NA,NA,NA,NA,NA,NA,NA,NA
Kathir College of Education (Id: C-14493),1.97,1.67,0,2.22,NA,NA,NA,NA
Kathir College of Engineering (Id: C-36988),0.45,0.45,0.18,0.46,NA,0.39,0.5,NA
Katigorah A Degree College (Id: C-26395),2.31,2.5,NA,0,NA,2,NA,NA
"Katihar Medical College, Katihar (Id: C-29573)",1.09,NA,NA,0.78,NA,0.81,NA,NA
"KATIYARI DEGREE COLLEGE, HARPALPUR, (Id: C-12128)",0.61,0.32,NA,0.59,NA,NA,NA,NA
"Katni Arts & Commerce College, Katni (Id: C-33388)",0.91,0.24,0.26,0.68,NA,NA,NA,NA
"KATRAS COLLEGE, KATRASGARH, DHANBAD (Id: C-44424)",0.86,0.67,0.53,0.94,NA,0,NA,NA
"Katrina Moller College of Nursing, Arogyavaram (Id: C-30675)",2.68,2.83,NA,2.33,NA,4,NA,NA
Katriya Institute of Excellence in Hotel Management (Id: C-26188),0.22,NA,NA,NA,NA,0,NA,NA
Katta Panchkroshi Shikshan Prasarak Mandass Dr Waradkar College of Arts & Commerce Katta Tal Malvan Dist Sindhudurg (Id: C-34035),1.62,NA,NA,NA,NA,NA,NA,NA
Katwa College (Id: C-44651),0.95,0.68,0.12,0.69,0.5,0.72,NA,NA
KAUMUDI DEGREE COLLEGE (Id: C-24926),0.75,0.82,1,0.75,NA,NA,NA,NA
KAUNSAR COLLEGE OF COMPUTER SCIENCE (Id: C-46537),0.49,NA,NA,NA,NA,0.49,NA,NA
"Kaushal Kishor Tej Pratap Snatak Mahavidyalaya, Bagapar, Maharajganj (Id: C-14064)",0.72,0.91,NA,0.63,NA,0.59,NA,NA
KAUSHALYA DEVI WOMEN COLLEGE KORCHI (Id: C-46505),33,NA,11,NA,NA,NA,NA,NA
"Kaushalya Mahavidyalaya, Dilavarpur, Madiyahu Jaunpur (Id: C-15994)",0.85,0.71,NA,0.88,NA,0.95,NA,NA
"KAUSHAMBI MAHAVIDYALAYA, TILHAPUR MORH, (Id: C-12270)",0.82,0.65,NA,0.89,NA,0.44,NA,NA
"KAUSHAMBI VIDHI MAHAVIDYALAYA, TILHAPUR MOD, (Id: C-12174)",0.13,0.09,0,0.15,NA,0.15,NA,NA
"Kaushik College of Engineering, Gambhiram, Anandpuram Mandal, PIN-531163 (CC-W2) (Id: C-18077)",0.41,0.28,0.29,0.36,NA,NA,NA,NA
"KAUSHLENDRA MAHAVIDYALAYA, MANGARH, KUNDA, PRATAPGARH (Id: C-42580)",1.15,1.19,NA,1.24,NA,1,NA,NA
KAUTILYA ACADEMY OF MANAGEMENT STUDIES (Id: C-45174),0.81,1,0,1.33,NA,NA,NA,NA
"Kautilya Institute of Technology & Engineering,Jaipur (Id: C-25159)",0.09,0.05,0.08,0.06,NA,NA,NA,NA
"Kautilya Mahila T.T. College,Rawatbhata Road, Nayagaon, Kota (Id: C-19396)",NA,NA,NA,NA,NA,NA,NA,NA
"Kaveri First Grade College, APS School Premises, Hosur Road, Anekal, Bangalore Dist(10-11) (Id: C-20768)",0.87,0.67,0,1,0,NA,NA,NA
"Kaveri First Grade College, No.354, F Block, Sahakaranagar, Bangalore -92 (Id: C-21150)",1.12,0.63,5,1.18,NA,NA,NA,NA
Kaveripakkam college of Arts and Science CollegeKaveripakkam-632 508 (Id: C-36353),1.21,1.03,NA,1.24,NA,1.5,NA,NA
"Kavery College, Pandanda Subbamma Campus, P.B. No.17, Virajpet-571218 (Id: C-17014)",1.26,1.77,2,1.92,NA,1.16,1,NA
"KAVERY MEDICAL CENTRE AND HOSPITALS, TRICHY (Id: C-45743)",37,NA,NA,NA,NA,NA,NA,NA
"Kavi Kulguru Institute of Technology and Science, Ramtek (Id: C-18777)",0.58,0.65,0.45,0.62,NA,NA,NA,NA
Kavishri Botadkar Commerce College (Id: C-7139),0.16,0.19,0,0.1,NA,NA,1.5,NA
"Kavitha Degree College, Upendrayya Nagar, Khammam (Id: C-27531)",0.63,0.61,0.5,0.66,1,0.39,NA,NA
"Kavitha Memorial Degree College, NST Road, Khammam (Id: C-27461)",0.53,0.56,0.36,0.56,NA,0.39,NA,NA
"Kavitha Memorial P.G. College, NST Road, Khammam (Id: C-27271)",0.84,0.71,0.55,0.87,NA,1,NA,NA
Kavitha PG College (Id: C-40801),0.92,1,0.67,1,NA,0.67,NA,NA
