Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",1.47,1.62,1.11,NA,NA,NA,NA,NA
Dr Y S R Horticulture University (Id: U-0001),1.47,1.96,1.08,1.34,NA,NA,NA,NA
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",0.61,0.86,0.33,0.53,NA,NA,NA,NA
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",7.69,5.4,NA,20,NA,NA,23.67,NA
"Fakir Mohan University, Balasore (Id: U-0354)",0.18,0,NA,NA,NA,NA,NA,NA
"Forest Research Institute, Dehradun (Id: U-0553)",0.56,0.22,0.33,0.43,NA,0.25,NA,0.36
GALGOTIAS UNIVERSITY (Id: U-0643),0.29,0.32,0,0.14,NA,0,NA,0.08
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",1.84,1.58,0.57,2.06,2.5,4.33,4,0.86
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",0.45,0.33,0.28,0.34,NA,NA,NA,0.5
"Ganpat Univeristy, Vidyanagar, Gandhinagar (Id: U-0132)",0.6,0.39,0.75,0.4,NA,NA,NA,0.25
"Gauhati University, Guwahati (Id: U-0052)",1.24,1.35,1.66,1.65,0.33,NA,NA,0.25
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",0.35,0.33,3,0.36,NA,NA,NA,NA
"Gautam Buddh Technical University, Lucknow (Id: U-0549)",NA,NA,NA,NA,NA,NA,NA,NA
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar (Id: U-0554)",NA,NA,NA,NA,NA,NA,NA,NA
"G.L.A University, Mathura (Id: U-0513)",0.33,0.3,0.15,0.2,0.5,0.28,0.5,NA
"Goa University, Goa (Id: U-0121)",2.57,1.62,1.76,2.78,NA,NA,NA,0.29
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",1.66,0.5,0.5,0.38,0,1,1,0.75
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",0.74,0.9,0.28,1.23,NA,NA,NA,NA
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),0.39,NA,NA,NA,NA,NA,NA,NA
"Graphic Era University, Dehradun (Id: U-0555)",0.4,NA,NA,NA,NA,NA,NA,NA
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",1.03,NA,NA,NA,NA,NA,NA,1.06
"Gujarat Forensic Science University, Gandhinagar (Id: U-0593)",0.74,0,2,0.89,NA,NA,NA,NA
"Gujarat National Law University, Gandhinagar (Id: U-0134)",0.9,0.82,1.32,1.17,0.64,NA,NA,NA
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",0.32,NA,NA,NA,NA,NA,NA,NA
"Gujarat University, Ahmedabad (Id: U-0136)",1.29,1.17,0.57,0.83,0.25,1.92,4,NA
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",0.66,0.62,1.04,0.34,0.5,0.62,NA,3
"Gulbarga University, Gulbarga (Id: U-0219)",0.85,0.49,0.4,1.06,1.33,3.44,10.4,NA
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",0.36,0.23,2,1,NA,NA,0.33,0.09
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",0.55,0.45,0.74,0.45,NA,NA,NA,NA
"Guru Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",0.59,0.47,0,0.58,0.28,0.42,0.33,0.08
GURU KASHI UNIVERSITY (Id: U-0653),0.32,0.28,NA,0.13,NA,NA,0.7,NA
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",0.23,0.21,0.04,0.16,0.12,0,0.5,NA
"Guru Nanak Dev University, Amritsar (Id: U-0376)",0.35,0.87,0,1.04,0.42,NA,0.72,NA
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",0.79,0.54,0.83,0.47,NA,NA,NA,NA
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",1.19,0.9,0.98,1.03,0,0.3,0,NA
"Hidayatullah National Law University, Raipur (Id: U-0086)",0.88,1.21,0.77,0.49,0.4,0.45,1,NA
"HIHT University, Dehradun (Id: U-0558)",0.92,NA,NA,NA,NA,NA,NA,NA
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",NA,NA,NA,NA,NA,NA,NA,NA
"Himachal Pradesh University , Shimla (Id: U-0183)",0.66,0.54,0.66,0.61,0.62,6,0.8,0.5
"Himgiri Zee University, Dehradun (Id: U-0559)",1.45,0.9,2.2,2.08,NA,NA,NA,NA
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",0.19,0.07,0.12,0.2,NA,NA,NA,0
"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai (Id: U-0304)",0.26,0.2,1,0.18,NA,NA,NA,NA
"Homoeopathy University, Jaipur (Id: U-0607)",1.23,0.96,1.29,0.98,NA,NA,NA,NA
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",0.6,NA,NA,NA,NA,NA,NA,NA
ICFAI UNIVERSITY (Id: U-0635),0.03,0,NA,0,NA,1,NA,NA
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),0.21,0.12,0.07,0.04,NA,0.33,0.29,NA
"IFTM University, Moradabad (Id: U-0515)",0.35,NA,NA,NA,NA,NA,NA,NA
"I.I.S. University, Jaipur (Id: U-0394)",32.8,66,39,23.62,NA,NA,NA,NA
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),0.29,0.29,0.42,0.19,0.18,NA,NA,0.57
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",0.19,0.15,0.14,0.08,0.1,NA,NA,1
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",0.21,0.22,0.17,0.16,0.11,0.02,0.12,0.07
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",0.24,0.22,0.18,0.19,0.17,0.5,0.14,1
"Indian Institute of Science, Bangalore (Id: U-0220)",0.3,0.18,0.15,0.09,NA,NA,NA,0.86
"Indian Institute of Science Education & Research (IISER), Bhopal (Id: U-0272)",0.51,0.56,0.33,0.56,0.5,0.3,1.44,NA
